Process is:[object process]
argv:/usr/local/bin/node,/mnt/d/programs/NetBeansProjects/Orb/src/missionfinder/main.js,-236,2004-08-06,2011-03-17
Horizon command is:java -jar ../../../HorizonsQuery/dist/HorizonsQuery.jar -236 2004-08-06 2011-03-17
Looking at pname, time:Earth 200000000
Looking at pname, time:Venus 200000000
Looking at pname, time:Mercury 200000000
1 1.024668772638844 0.016569562596590506 0.6500147133959027 0.7055217839219973
2 1.027199464636625 0.021060358252887126 0.6685746492686228 0.6863029615602204
3 1.0296869454664046 0.025692572385726316 0.68724137461696 0.6696747401516712
4 1.0321329485454551 0.03040116480330012 0.7060039720956455 0.6562538416761377
5 1.034536484426906 0.03515579354199244 0.7248511058807688 0.6467275721505393
6 1.0368962457325268 0.03994043147909672 0.7437708841109291 0.6418306354528983
7 1.0392106348663304 0.04474592328001131 0.7627514018489442 0.6423015154656248
8 1.041477925467451 0.049566665793020846 0.781780854142264 0.6488238163705146
9 1.0436963422638255 0.05439901774423124 0.8008475821152068 0.6619591847052577
10 1.045864490335178 0.05924557642872161 0.8199483674683958 0.6820844987265272
11 1.0479795203001037 0.06410307474394286 0.8390692572610734 0.709338870272178
12 1.0500391284416069 0.06896608032592577 0.8581923349376073 0.7435923076098653
13 1.0520416400008124 0.07383348525129685 0.8773065305226637 0.7844359251007191
14 1.0539854309254018 0.07870432374997575 0.896400933430798 0.8311813992413525
15 1.055868931888414 0.08357771012335899 0.9154647872086863 0.8828698762701065
16 1.057690630936629 0.0884527972605612 0.9344874845361888 0.9382923287270485
17 1.0594490752208021 0.09332874827347956 0.9534585627324343 0.9960318093659739
18 1.0611428720960632 0.0982047167300287 0.9723676998966851 1.0545397135351795
19 1.0627706897807165 0.10307983267259907 0.9912047117501938 1.112249128374708
20 1.0643312577005597 0.10795319260204661 1.0099595490853441 1.1677102180702394
21 1.0658233666167778 0.1128238522838176 1.0286222960065963 1.2197158590241612
22 1.0672458685899147 0.11769082156565897 1.0471831688265638 1.267383659561915
23 1.0685976768227825 0.12255306066851508 1.065632515603607 1.3101766618390038
24 1.0698777654080178 0.12740947757202878 1.0839608162913172 1.3478686276470204
25 1.0710851970487356 0.13225929814223936 1.1021591176837704 1.3804760132568539
26 1.0722190569524468 0.13710354384553539 1.1202206198279225 1.4081808607914397
27 1.0732781647954512 0.14193831557584613 1.1381330041751505 1.4312601737736126
28 1.0742617362807 0.14676229193029106 1.1558872738469046 1.4500351011355557
29 1.075169046484749 0.15157409467915797 1.1734745737501153 1.464833349482172
